gene	G14-1	G14-2	G14-3	448T-1	448T-2	448T-3	G179-1	G179-2	G179-3	559T-1	559T-2	559T-3
EPHA3	657	830	1318	270	569	830	1491	2331	3213	136	104	148
EPHA4	72	98	125	450	779	1007	1005	1284	1444	281	224	220
EPHA5	38	41	88	0	5	11	274	378	469	33	30	41
EPHA5-AS1	1	1	4	0	0	0	21	15	27	0	0	0
EPHA6	0	0	0	0	0	0	0	0	0	0	0	1
EPHA7	0	0	0	1	0	1	0	3	4	36	45	13
EPHA8	0	0	0	0	0	0	0	1	0	0	0	1
EPHB1	0	2	5	119	224	160	23	38	46	44	35	17
EPHB2	580	774	1047	2047	1607	1592	1516	1502	1735	719	425	618
EPHB3	87	99	172	515	632	572	194	293	361	953	631	592
EPHB4	1372	2005	2555	525	680	883	4468	4043	3948	1429	1068	1422
EPHB6	0	0	0	3	2	4	0	0	1	0	2	3
EPHX1	84	112	148	165	248	344	1194	1474	1995	509	402	386
EPHX2	50	79	99	23	30	40	161	246	358	67	56	48
EPHX3	0	0	1	1	0	1	1	0	0	2	0	0
EPHX4	56	66	80	5	5	2	26	19	16	8	7	10
EPM2A	37	56	47	49	54	74	119	96	104	101	73	52
EPM2AIP1	428	718	768	1090	1476	1409	2126	2250	2507	873	539	705
EPN1	991	1391	1516	1416	1556	1652	1849	1801	1984	1311	917	1032
EPN2	692	991	1286	940	932	999	2248	2548	2940	988	734	687
EPN2-AS1	1	2	4	2	5	7	4	6	12	12	2	4
EPN2-IT1	3	2	1	3	0	1	1	1	2	0	0	2
EPN3	0	0	0	0	2	0	6	11	21	3	4	3
EPO	1	0	1	2	1	0	3	2	3	2	0	1
EPOR	29	38	67	24	21	24	101	101	141	22	13	35
EPPIN	1	3	8	10	13	12	21	11	20	19	10	8
EPPK1	2	0	1	2	9	6	3	3	8	16	19	16
EPRS	404	658	644	1162	1202	1165	4337	3989	3628	1140	854	917
EPS15	474	667	773	654	788	993	1511	1541	1636	817	581	516
EPS15L1	458	767	805	619	582	630	1273	1086	1047	484	344	360
EPS8	965	1429	1373	507	476	550	3478	2921	2732	386	317	493
EPS8L1	21	23	48	13	18	18	15	18	8	9	3	4
EPS8L2	31	58	70	10	14	30	25	32	88	40	30	48
EPS8L3	0	0	0	0	0	1	1	0	0	0	0	0
EPSTI1	58	78	72	1	4	13	234	297	312	5	6	10
EPT1	533	787	728	652	598	624	2246	1985	1720	738	472	505
EPX	1	0	3	1	6	8	4	2	2	7	4	1
EPYC	0	0	0	0	0	0	0	0	0	0	0	0
EQTN	0	0	0	0	2	0	0	0	0	3	5	0
ERAL1	439	569	662	365	389	402	1272	1125	1161	506	393	369
ERAP1	419	722	834	370	391	474	3394	3422	3611	861	631	585
ERAP2	447	625	888	250	397	450	207	175	252	744	537	604
ERAS	0	0	0	2	0	4	2	2	2	1	0	1
ERBB2	584	861	1150	357	950	1425	390	469	666	1040	799	783
ERBB2IP	752	1355	1564	1090	1624	1646	5289	6030	6664	2122	1698	1534
ERBB3	13	16	20	74	136	96	39	47	38	65	39	35
ERBB4	2	4	11	167	333	388	44	42	38	19	9	5
ERC1	661	965	1042	965	1139	1038	2972	3261	3308	929	576	558
ERC2	20	42	32	15	15	10	11	3	2	4	2	14
ERC2-IT1	1	1	1	2	0	1	4	0	3	2	0	1
ERCC1	346	531	549	795	670	749	640	641	618	516	323	348
ERCC2	338	575	678	257	331	332	430	461	558	441	289	355
ERCC3	417	567	644	637	666	669	1137	1139	1263	555	408	428
ERCC4	170	271	247	238	292	319	967	901	990	336	206	245
ERCC5	9	14	16	18	21	23	41	44	62	25	19	23
ERCC6	49	77	89	79	118	137	180	205	249	76	61	53
ERCC6L	215	256	208	198	79	93	646	445	237	94	39	58
ERCC6L2	303	488	555	466	609	600	1292	1221	1341	473	302	361
ERCC6-PGBD3	0	0	0	0	0	0	0	0	0	0	0	0
ERCC8	69	108	150	60	96	87	237	219	242	142	110	96
EREG	10	16	7	5	7	8	77	106	78	8	4	4
ERF	283	319	424	1198	1403	1415	629	576	700	812	612	660
ERG	1	3	8	0	2	1	14	18	13	0	1	1
ERGIC1	1077	1731	2070	1298	1516	1602	2745	3114	3394	1804	1257	1345
ERGIC2	195	258	298	186	204	193	474	426	457	321	208	210
ERGIC3	718	1005	1233	1064	1295	1444	3069	3604	4049	1335	881	1033
ERH	579	885	840	544	513	512	2095	2015	1978	799	502	484
ERI1	309	444	410	503	364	397	2809	2241	1846	479	274	370
ERI2	151	188	179	161	167	174	838	687	726	188	138	124
ERI3	344	447	458	653	679	651	925	955	1042	647	502	417
ERI3-IT1	1	6	3	11	16	6	18	15	18	13	6	7
ERICH1	86	135	125	110	121	115	409	413	367	81	70	70
ERICH1-AS1	0	0	0	0	0	0	0	0	0	0	0	0
ERICH2	5	14	22	41	31	50	73	103	96	44	24	25
ERICH3	8	22	29	1323	3324	3941	715	649	715	21	12	8
ERICH4	0	0	0	0	0	0	0	0	2	0	0	0
ERICH5	4	12	5	0	0	0	10	15	9	0	1	2
ERICH6	0	1	0	4	4	5	2	3	5	1	1	1
ERICH6B	0	0	0	0	1	0	0	0	0	0	0	0
ERLEC1	286	448	491	372	421	455	1670	1716	2065	813	615	543
ERLIN1	273	375	402	446	435	428	1346	1103	1087	318	233	257
ERLIN2	503	760	882	339	418	528	3616	4507	5027	1070	758	752
ERMAP	56	92	131	227	326	388	502	677	836	248	194	188
ERMARD	73	106	127	110	153	182	410	448	567	194	134	145
ERMN	1	2	0	0	0	1	16	20	23	19	16	7
ERMP1	236	309	352	329	348	374	154	179	211	338	233	217
ERN1	42	68	100	49	48	73	142	189	263	85	64	58
ERN2	8	4	8	5	8	8	12	5	12	3	4	4
ERO1L	330	461	492	125	104	132	788	631	581	193	105	140
ERO1LB	71	100	128	111	122	119	137	147	227	86	85	76
ERP27	0	0	0	1	2	3	0	0	0	9	12	4
ERP29	547	820	930	489	601	586	2214	2307	2310	719	578	546
ERP44	358	503	510	497	560	588	1427	1467	1488	432	299	296
ERRFI1	482	650	625	452	376	443	3605	4077	2580	354	335	605
ERV3-1	94	145	216	399	576	620	750	1048	1401	370	299	288
ERVFRD-1	0	0	0	0	0	1	0	0	1	0	0	0
ERVK13-1	106	184	238	229	274	296	464	558	756	375	241	269
ERVMER34-1	0	1	2	0	0	1	0	3	0	1	1	0
ERVV-1	3	4	6	10	17	17	15	16	16	14	5	11
ERVV-2	0	0	1	0	0	0	0	2	3	0	0	0
ESAM	2	9	8	11	9	19	5	6	9	18	9	8
ESCO1	160	216	269	200	281	278	699	705	697	305	206	178
ESCO2	208	245	203	233	125	110	1092	632	355	201	119	110
ESD	313	470	518	481	588	675	1283	1091	1099	610	395	396
ESF1	179	228	249	248	283	259	766	752	673	329	236	199
ESM1	0	0	0	0	0	0	0	1	0	1	1	0
ESPL1	400	520	408	364	238	239	1251	898	573	506	286	284
ESPN	1	1	1	1	4	4	2	3	6	3	2	1
ESPNL	0	0	0	3	0	1	1	1	4	3	3	1
ESPNP	0	0	0	0	0	0	0	0	1	0	0	0
ESR1	0	3	7	0	0	0	4	3	5	1	2	0
ESR2	24	33	21	14	21	14	54	42	43	12	10	14
ESRG	87	172	136	43	78	62	146	152	182	78	68	48
ESRP1	1	0	0	0	0	0	3	3	0	0	0	0
ESRP2	2	8	8	2	3	3	5	11	9	3	1	1
ESRRA	167	237	277	172	191	208	329	364	434	231	176	231
ESRRB	1	1	1	2	2	0	0	0	0	4	4	3
ESRRG	6	9	14	47	48	83	138	218	326	77	59	54
ESX1	0	0	0	0	0	0	0	0	0	0	0	0
ESYT1	1639	2490	2444	590	657	737	2884	2267	2082	740	474	763
ESYT2	1116	1546	1763	884	1062	1251	3944	3528	3041	880	595	710
ESYT3	5	8	12	10	5	4	29	23	41	1	1	1
ETAA1	151	248	244	208	268	285	879	822	913	237	153	144
ETF1	1062	1545	1413	899	855	981	3116	2799	2679	1056	707	774
ETFA	333	522	578	333	340	404	1277	1171	1127	623	446	432
ETFB	171	267	313	411	442	503	511	613	714	388	258	275
ETFDH	189	291	331	122	124	97	568	551	729	128	109	85
ETHE1	76	91	130	110	140	114	142	138	133	73	55	78
ETNK1	524	732	1046	635	761	807	1340	1355	1472	969	665	660
ETNK2	172	237	324	58	70	88	642	728	839	177	106	159
ETNPPL	12	14	14	0	0	0	0	5	7	0	0	0
ETS1	149	265	280	320	405	410	2043	1636	1475	461	395	485
ETS2	721	988	941	43	65	70	1079	793	574	163	108	217
ETV1	352	468	481	2547	2894	2900	2016	2182	2008	5056	3490	3165
ETV2	1	2	4	5	6	4	6	4	7	6	3	6
ETV3	58	88	108	101	106	134	202	214	209	116	85	82
ETV3L	0	0	1	1	0	0	0	0	0	0	0	1
ETV4	239	281	240	619	328	311	837	750	525	263	126	143
ETV5	1030	1377	1375	2740	1843	1645	3107	2712	1710	1298	726	1088
ETV6	177	234	322	255	285	233	622	629	673	436	291	274
ETV7	15	21	34	2	0	3	96	96	113	14	7	7
EVA1A	129	222	245	20	31	33	470	418	408	8	7	51
EVA1B	111	209	240	76	93	109	208	230	262	78	63	65
EVA1C	94	133	146	103	141	172	261	310	283	33	41	29
EVC	905	1503	2096	324	443	512	2112	2211	2425	565	397	437
EVC2	36	61	63	33	27	49	195	179	181	25	22	21
EVI2A	0	1	3	1	1	2	25	15	17	1	6	5
EVI2B	3	3	2	1	1	2	49	31	21	2	5	1
EVI5	280	454	530	371	651	770	581	640	739	542	407	338
EVI5L	242	400	501	489	613	704	665	912	1142	558	374	387
EVL	196	310	355	441	465	479	999	1045	1221	839	608	537
EVPL	0	0	0	2	2	5	4	11	16	0	1	1
EVPLL	0	0	0	0	0	0	0	1	0	0	0	0
EVX1	2	0	1	1	0	2	0	0	0	4	0	0
EVX1-AS	0	1	0	0	0	0	0	1	0	1	0	0
EVX2	0	0	0	0	1	1	0	0	1	0	2	1
EWSR1	1517	2181	2217	2562	2665	2835	6316	5962	6006	3199	2138	2215
EXD1	5	6	8	5	4	8	9	5	7	10	7	6
EXD2	217	306	369	220	349	335	995	1205	1389	581	380	294
EXD3	55	75	97	81	167	224	143	220	350	150	127	112
EXO1	92	114	108	287	129	113	609	365	207	170	95	104
EXO5	1	6	5	83	75	85	182	153	144	70	55	47
EXOC1	337	525	539	266	347	421	1518	1579	1733	630	495	420
EXOC2	343	461	576	304	394	389	1231	1206	1331	879	525	533
EXOC3	279	426	446	295	338	368	811	826	995	578	395	381
EXOC3L1	1	3	5	1	3	2	11	14	11	4	2	2
EXOC3L2	5	16	12	11	4	15	11	15	6	10	12	8
EXOC3L4	0	0	0	0	0	0	2	0	12	0	0	0
EXOC4	516	861	1050	907	1156	1214	2657	3061	3408	1500	1058	1007
EXOC5	556	888	912	661	665	699	2893	2711	2639	1349	899	853
EXOC6	262	467	345	282	238	242	897	818	658	96	70	64
EXOC6B	164	277	313	175	262	263	826	865	908	292	208	216
EXOC7	1634	2390	2923	1278	1423	1668	4897	5198	5900	2156	1613	1562
EXOC8	162	214	241	212	293	305	469	390	478	265	146	162
EXOG	205	271	278	288	315	332	672	585	530	291	195	196
EXOSC1	69	91	95	97	108	108	219	172	162	64	41	49
EXOSC10	607	795	752	969	1074	1072	1683	1579	1726	780	544	493
EXOSC2	348	588	442	361	313	331	866	672	576	348	241	220
EXOSC3	193	316	275	173	184	183	539	474	429	173	108	106
EXOSC4	117	164	177	91	105	116	326	303	299	128	98	85
EXOSC5	69	89	90	96	80	81	108	94	87	59	29	46
EXOSC6	260	353	387	257	201	244	715	611	477	336	242	228
EXOSC7	251	343	387	190	213	239	610	572	656	155	120	105
EXOSC8	111	169	142	179	154	170	511	312	252	198	123	117
EXOSC9	351	499	435	218	156	192	728	621	416	206	107	119
EXPH5	176	252	195	46	50	61	160	149	128	50	41	51
EXT1	122	216	204	140	170	227	403	484	599	343	265	261
EXT2	899	1290	1512	590	715	860	2506	2573	3159	1221	903	1006
EXTL1	0	1	1	10	19	30	6	13	15	7	9	9
EXTL2	148	258	261	396	488	470	772	709	716	517	376	345
EXTL3	1468	1960	2313	2693	2813	2691	8311	10680	13266	4725	3325	3696
EYA1	1	0	0	9	7	8	90	118	159	175	111	113
EYA2	0	0	0	155	90	81	0	2	1	9	3	0
EYA3	261	368	444	437	446	475	865	856	888	407	245	284
EYA4	371	554	703	0	1	1	17	28	32	1521	1165	984
EYA4-AS1	4	4	3	0	0	0	0	0	0	52	26	25
EYS	3	10	8	3	8	6	8	11	25	3	2	4
EZH1	164	254	310	259	343	376	563	681	881	448	315	279
EZH2	448	641	538	675	479	471	1499	1097	799	679	408	358
EZR	4100	7035	6582	710	1040	1364	7218	5895	4590	1086	796	793
EZR-AS1	0	1	0	0	0	0	1	0	0	0	1	0
F10	1	1	2	0	0	1	9	11	19	6	6	1
F11	0	0	0	3	1	1	0	0	0	0	0	1
F11-AS1	0	0	0	0	0	0	0	0	0	0	0	0
F11R	294	431	582	287	671	911	180	229	266	58	39	23
F12	26	29	41	32	78	66	30	32	31	161	132	94
F13A1	215	190	405	0	0	0	1	3	3	0	0	0
F13B	0	0	0	1	0	0	0	1	0	0	0	0
F2	0	0	1	0	0	0	0	1	1	1	0	1
F2R	423	581	594	751	742	739	2142	1896	1334	1635	1058	1230
F2RL1	304	311	382	27	22	45	560	361	205	87	73	124
F2RL2	4	4	13	8	9	15	87	99	75	41	66	153
F2RL3	9	14	12	9	5	3	12	5	7	6	8	5
F3	137	280	196	352	507	535	444	409	465	1229	939	565
F5	8	26	19	22	25	29	51	50	52	34	31	18
F7	0	0	0	1	0	1	1	2	4	0	0	0
F8	10	13	19	114	100	105	89	108	103	24	12	18
F8A1	6	10	10	42	25	38	59	45	44	10	8	8
F9	0	0	0	0	0	0	0	0	0	0	0	0
FA2H	2	1	4	11	37	56	1	3	2	0	0	1
FAAH	12	20	23	17	25	21	80	63	113	24	19	16
FAAH2	0	1	1	3	7	5	1	4	2	5	3	4
FABP1	0	0	0	0	0	0	0	0	0	0	0	0
FABP12	0	0	0	0	0	1	1	0	0	0	0	0
FABP2	0	2	0	1	2	2	1	1	4	2	3	1
FABP3	7	14	10	69	101	60	40	40	42	25	11	20
FABP4	0	0	0	0	0	0	0	0	2	0	3	3
FABP5	79	117	97	247	219	258	291	299	278	38	23	32
FABP5P3	0	0	0	0	0	0	3	2	0	1	0	0
FABP6	0	2	2	0	0	1	0	0	0	1	0	0
FABP7	531	755	943	4020	5721	5182	3332	5455	4468	12543	8003	6314
FABP9	0	0	0	0	0	0	0	0	0	1	0	0
FADD	324	508	541	124	133	162	570	476	559	187	121	190
FADS1	1225	2034	2289	1226	1405	1370	4961	4704	3942	1712	1138	1280
FADS2	2906	5705	6592	2422	3663	3388	14575	15675	13875	6458	4803	5226
FADS3	277	399	529	347	386	405	631	664	827	194	144	173
FADS6	3	3	11	9	11	9	7	10	13	11	5	8
FAF1	405	555	487	188	193	155	1171	989	870	423	272	278
FAF2	759	1192	1101	674	644	722	2706	2910	2967	994	794	786
FAH	129	137	173	96	73	93	351	354	382	91	72	94
FAHD1	155	238	288	139	133	164	814	711	733	199	147	155
FAHD2A	97	188	208	57	80	106	274	284	270	129	102	110
FAHD2B	18	29	51	12	16	24	49	52	82	59	39	31
FAHD2CP	6	27	21	16	24	34	39	67	85	52	38	26
FAIM	67	129	93	95	102	121	189	174	166	58	33	36
FAIM2	18	29	43	347	537	677	366	636	1087	355	277	242
FAIM3	3	3	5	79	42	36	1	0	5	0	0	0
FAM101A	0	0	0	0	1	0	0	0	0	0	1	0
FAM101B	1460	2752	3092	69	61	43	880	583	418	193	141	142
FAM102A	325	393	688	763	1057	1170	1447	1929	3009	651	516	439
FAM102B	203	231	256	282	239	211	952	737	607	279	145	160
FAM103A1	62	106	110	64	74	68	277	254	237	127	83	126
FAM104A	293	383	447	274	291	306	1193	1085	1049	355	273	278
FAM104B	63	98	91	159	172	192	225	204	214	128	86	61
FAM105A	7	10	7	16	11	6	15	14	15	12	14	28
FAM106A	11	16	19	29	40	48	52	65	78	31	25	16
FAM106CP	1	2	1	7	6	9	19	8	30	7	6	6
FAM107A	1	3	3	14	60	39	75	72	54	255	210	73
FAM107B	87	122	136	174	150	150	176	148	81	138	101	65
FAM109A	110	130	194	135	176	224	286	262	367	235	199	179
FAM109B	5	6	3	11	15	14	6	12	20	1	2	2
FAM110A	51	77	57	62	55	34	142	102	73	79	46	43
FAM110B	89	145	181	73	100	105	168	198	231	211	166	135
FAM110C	0	0	0	4	1	3	3	1	0	1	3	0
FAM110D	0	1	0	2	0	0	0	2	2	3	1	1
FAM111A	456	583	559	380	401	391	1533	1318	1074	853	540	444
FAM111B	314	411	305	216	93	97	675	471	268	194	103	100
FAM114A1	488	742	1072	93	132	153	1550	1584	1583	269	220	303
FAM114A2	93	186	191	146	150	157	573	520	556	211	131	153
FAM115A	1079	1685	1960	1941	2020	2041	4518	5087	5416	2598	1759	1975
FAM115C	21	29	26	30	33	32	44	58	71	38	29	28
FAM115D	0	0	0	0	0	0	1	2	1	0	0	0
FAM117A	79	109	136	35	37	62	219	286	329	56	51	43
FAM117B	92	153	157	95	128	119	270	226	238	186	134	140
FAM118A	88	128	142	130	171	199	320	399	336	128	84	91
FAM118B	148	182	190	122	138	162	506	387	476	280	228	196
FAM120A	1900	2549	2827	2224	2408	2514	5513	5594	5351	1782	1127	1357
FAM120AOS	197	312	325	302	283	337	740	700	721	300	197	204
FAM120B	269	406	487	327	417	501	1476	1689	1924	602	466	450
FAM120C	264	332	411	743	885	942	1200	1565	1965	917	603	510
FAM122A	147	208	225	166	179	205	582	501	624	223	131	160
FAM122B	661	947	929	1237	893	865	2545	1990	1606	615	356	454
FAM122C	54	56	73	109	111	114	159	173	205	91	59	62
FAM124A	19	23	36	16	36	40	86	68	50	35	27	29
FAM124B	0	1	0	2	1	0	2	2	0	1	1	0
FAM126A	576	808	869	854	939	910	5165	4727	4459	1140	695	873
FAM126B	174	223	305	237	306	309	566	512	602	330	221	202
FAM127A	1050	1576	2059	1910	2847	3421	2904	4056	4840	1621	1285	1256
FAM127B	464	731	811	606	778	872	1360	1682	1718	300	216	230
FAM127C	236	375	427	280	263	327	557	611	639	214	148	141
FAM129A	651	838	968	195	149	161	4135	3932	3726	702	402	659
FAM129B	4451	6218	8703	2501	2707	3587	8667	7357	6517	1253	851	1888
FAM129C	0	0	0	3	3	1	3	3	7	2	5	0
FAM131A	190	282	389	264	330	343	374	447	547	278	174	205
FAM131B	237	297	339	3146	2740	2891	578	604	671	1233	751	625
FAM131C	8	14	23	8	3	5	18	38	55	11	6	11
FAM132A	2	0	1	1	7	5	5	11	9	4	2	3
FAM132B	12	19	19	31	12	4	70	52	39	14	6	13
FAM133A	0	0	0	1	0	0	5	2	1	1	1	1
FAM133B	6	11	16	14	26	18	45	53	45	26	13	15
FAM133CP	0	0	1	0	2	2	3	1	0	2	0	2
FAM134A	437	646	823	950	1169	1234	2221	2659	3310	1419	1016	905
FAM134B	75	120	158	153	237	281	216	240	297	81	78	53
FAM134C	436	618	744	325	410	414	1007	1074	1334	509	377	372
FAM135A	131	162	201	266	406	391	459	517	562	322	267	207
FAM135B	0	0	0	16	10	13	0	0	0	17	19	20
FAM136A	392	562	513	289	278	302	1473	1182	1088	290	201	225
FAM138B	0	0	0	0	0	0	0	0	0	0	0	0
FAM138D	0	1	0	0	1	0	0	1	1	1	1	1
FAM138E	0	0	0	0	0	0	0	0	0	0	0	3
FAM13A	67	100	121	48	43	47	304	403	598	211	115	126
FAM13A-AS1	4	3	2	5	15	10	12	15	27	9	9	5
FAM13B	214	320	257	288	284	295	757	871	1039	381	292	209
FAM13C	12	20	32	64	68	101	74	103	137	97	86	80
FAM149A	37	53	88	32	42	34	39	57	57	64	42	27
FAM149B1	78	140	161	153	218	218	509	581	691	153	102	85
FAM150B	1	2	2	5	5	2	1	2	1	1	0	0
FAM151A	0	2	1	1	1	0	0	0	0	1	0	1
FAM151B	9	7	12	14	19	34	34	33	40	22	12	17
FAM153A	0	0	0	0	0	0	0	0	0	0	0	0
FAM153B	0	0	0	0	0	0	0	0	0	0	0	0
FAM153C	4	15	15	11	20	18	15	19	21	22	12	9
FAM154A	0	0	0	0	0	0	0	0	0	0	0	0
FAM154B	1	0	1	57	49	55	24	21	46	24	22	21
FAM155A	0	0	0	1	0	1	11	12	14	95	147	179
FAM155A-IT1	0	0	0	0	0	0	0	0	0	0	0	2
FAM155B	0	0	0	10	12	6	0	0	0	9	10	4
FAM156A	11	21	23	54	80	66	69	69	103	35	28	23
FAM156B	0	0	0	0	0	0	0	0	0	0	0	0
FAM157A	0	0	0	0	0	0	0	0	1	0	0	0
FAM157B	1	0	0	0	0	0	0	0	0	0	1	2
FAM159A	0	0	0	1	1	1	1	1	0	2	2	1
FAM159B	0	0	0	0	0	0	0	0	0	0	0	0
FAM160A1	79	147	142	2	5	13	109	87	120	8	10	21
FAM160A2	158	188	215	157	194	219	510	601	671	276	214	217
FAM160B1	118	166	215	183	320	328	467	534	743	191	122	142
FAM160B2	292	411	528	269	371	419	1011	1092	1461	652	456	422
FAM161A	96	139	114	125	122	116	363	334	268	144	79	58
FAM161B	49	58	75	49	100	73	220	262	325	116	83	80
FAM162A	84	108	151	258	222	235	402	556	505	105	89	88
FAM162B	0	0	0	0	0	0	0	0	0	0	0	0
FAM163A	0	0	2	0	0	0	8	5	7	0	0	0
FAM163B	0	0	0	0	0	1	2	1	0	0	0	0
FAM166A	0	2	0	5	1	2	2	0	3	1	0	1
FAM166B	0	1	2	0	1	1	2	5	2	0	2	1
FAM167A	1	3	1	6	10	13	233	321	322	50	44	40
FAM167B	11	9	19	6	3	7	32	29	34	0	2	2
FAM168A	855	1246	1584	1903	2283	2381	4654	5551	6637	2885	2130	1759
FAM168B	1667	2569	2645	2432	2375	2447	4985	4996	5220	2644	1844	1727
FAM169A	171	269	273	136	147	157	528	501	486	379	230	220
FAM169B	0	0	0	0	1	1	2	2	1	0	1	1
FAM170A	0	0	1	0	1	0	0	0	0	0	1	0
FAM170B	0	0	0	0	0	0	0	0	0	0	0	0
FAM171A1	510	740	920	828	733	775	872	842	747	307	201	236
FAM171A2	56	78	123	99	96	104	120	169	281	302	185	218
FAM171B	106	159	236	162	276	328	519	719	1365	358	304	299
FAM172A	173	330	392	370	482	509	1051	1193	1273	541	403	363
FAM172BP	6	4	3	7	5	9	7	12	7	13	3	3
FAM173A	60	82	74	138	194	209	146	188	241	194	147	122
FAM173B	87	111	114	108	97	90	262	264	224	158	122	112
FAM174A	67	95	104	37	46	36	119	149	135	67	54	52
FAM174B	1	2	1	1	2	0	16	8	10	4	5	9
FAM175A	69	144	121	55	61	81	286	251	242	79	52	64
FAM175B	95	153	131	197	231	216	434	442	435	151	113	98
FAM177A1	156	223	257	134	161	182	572	601	508	336	179	206
FAM177B	0	0	0	0	0	0	0	0	0	0	0	0
FAM178A	523	764	859	1564	1328	1374	2239	1941	1694	644	397	450
FAM178B	0	0	0	0	0	0	0	1	1	0	2	4
FAM179A	1	3	5	4	15	13	2	9	13	10	8	11
FAM179B	123	160	219	197	275	296	864	1098	1235	443	331	325
FAM180A	0	0	0	2	0	1	21	11	11	0	0	2
FAM180B	0	0	1	0	1	1	1	0	2	1	1	3
FAM181A	0	0	1	180	448	518	2	2	1	248	199	107
FAM181A-AS1	0	0	0	37	21	43	0	0	1	53	33	16
FAM181B	0	11	18	373	448	384	4	4	20	1213	745	592
FAM182A	0	0	0	2	4	9	0	0	2	8	4	2
FAM182B	0	0	0	4	26	20	9	11	15	21	20	3
FAM183A	0	1	1	0	1	1	0	0	0	0	0	0
FAM183B	0	0	0	0	1	0	0	1	1	1	0	0
FAM183CP	0	0	0	0	0	0	0	0	0	0	0	0
FAM184A	54	96	98	444	348	307	231	252	311	183	113	90
FAM184B	35	41	43	108	92	91	20	34	46	67	70	58
FAM185A	39	49	75	44	52	47	139	158	174	80	57	53
FAM186A	0	1	2	2	2	2	7	6	15	3	1	1
FAM186B	7	8	13	18	8	17	30	31	36	14	7	15
FAM187B	0	0	0	0	0	0	1	0	2	0	0	0
FAM188A	77	112	112	146	157	172	366	343	361	100	92	79
FAM188B	4	3	2	3	0	5	5	4	4	2	2	1
FAM189A1	0	1	1	91	77	109	0	0	1	134	79	143
FAM189A2	1	3	2	0	3	5	6	10	7	16	22	16
FAM189B	347	477	616	226	285	352	651	673	675	302	178	294
FAM192A	417	610	696	1012	908	1049	2536	2527	2414	934	628	538
FAM193A	334	517	580	424	473	520	967	1030	1203	716	510	412
FAM193B	206	324	449	281	522	574	743	801	1285	556	426	383
FAM195A	97	132	140	116	123	145	130	118	139	85	39	54
FAM195B	249	347	439	483	521	574	820	950	1102	770	504	504
FAM196A	5	3	3	537	317	274	124	90	96	424	288	365
FAM196B	38	56	48	23	80	104	467	541	626	43	34	128
FAM198A	1	0	0	47	74	56	64	80	124	80	51	52
FAM198B	185	254	413	5	25	48	2794	5671	11698	743	741	745
FAM199X	570	848	1012	1139	1434	1488	2575	2689	2886	1273	886	758
FAM19A1	0	0	0	0	0	0	1	0	1	3	2	0
FAM19A2	0	2	1	2	1	2	1	6	6	3	2	1
FAM19A3	0	1	1	1	1	4	4	1	2	0	2	1
FAM19A4	0	0	0	0	0	0	0	0	0	0	0	0
FAM19A5	3	3	0	491	653	753	3	1	8	210	156	139
FAM200A	82	119	100	80	95	99	299	336	353	174	118	144
FAM200B	288	461	609	140	172	202	721	679	599	288	198	236
FAM201A	0	1	2	2	2	2	26	13	16	0	1	1
FAM203A	5	13	6	2	3	4	11	10	12	2	4	4
FAM204A	77	179	157	267	304	339	544	435	445	194	115	116
FAM205A	1	1	1	0	3	0	2	2	1	1	0	1
FAM205B	0	0	0	0	0	0	0	1	2	0	0	0
FAM206A	69	118	128	160	220	217	359	404	449	144	110	120
FAM207A	124	191	195	76	71	75	236	220	179	70	58	77
FAM208A	1213	1862	1932	1314	1536	1707	4431	4505	4502	1374	940	914
FAM208B	779	1006	1017	824	785	829	2251	1926	1937	519	436	442
FAM209A	0	0	0	0	0	0	1	0	2	0	2	0
FAM209B	1	0	0	0	2	0	4	1	2	0	0	1
FAM20A	3	2	2	2	2	6	108	165	312	13	4	8
FAM20B	688	1089	1161	1053	1010	1098	1794	1733	1742	903	632	672
FAM20C	450	559	900	761	890	899	4837	3653	3173	1085	823	1032
FAM210A	166	205	229	184	167	190	399	395	369	127	118	105
FAM210B	390	645	759	365	395	422	1547	1878	2111	545	403	425
FAM212A	11	5	5	38	31	72	19	20	13	6	2	6
FAM212B	247	273	364	2555	2301	2309	742	891	972	2033	1256	1106
FAM212B-AS1	12	20	29	62	47	41	48	44	49	78	42	51
FAM213A	192	345	347	783	893	902	959	1064	1083	529	386	369
FAM213B	157	191	243	467	636	703	677	741	782	214	163	153
FAM214A	64	91	142	66	145	176	371	465	619	377	247	213
FAM214B	221	274	477	337	506	684	955	1091	1196	397	280	326
FAM215A	3	8	5	5	3	2	12	16	14	9	4	5
FAM216A	101	127	124	96	39	50	268	204	167	47	38	62
FAM216B	0	0	0	0	0	0	0	0	0	0	1	0
FAM217A	0	0	0	0	0	0	0	0	0	2	0	2
FAM217B	87	133	140	247	268	243	401	403	424	278	245	220
FAM218A	0	6	4	2	10	9	42	39	50	1	1	0
FAM219A	550	883	1036	1029	1246	1294	1586	1702	1893	736	546	450
FAM219B	158	258	334	268	339	349	537	622	724	718	499	519
FAM21A	76	114	172	212	273	247	652	767	973	153	99	79
FAM21C	27	57	69	174	245	284	363	489	579	141	97	93
FAM21EP	1	6	4	12	17	27	23	30	41	6	4	7
FAM220A	126	202	238	125	133	166	535	485	468	229	177	182
FAM221A	55	78	95	91	92	74	58	49	52	36	19	18
FAM221B	0	0	1	1	1	0	1	0	2	0	2	0
FAM222A	30	39	35	85	49	71	60	53	40	365	292	169
