gene	G14-1	G14-2	G14-3	448T-1	448T-2	448T-3	G179-1	G179-2	G179-3	559T-1	559T-2	559T-3
PAK3	266	344	403	175	285	420	528	557	460	91	35	52
PAK4	460	568	650	554	604	633	845	793	835	573	396	470
PAK6	18	23	50	45	56	73	82	98	114	52	32	39
PAK7	0	0	1	7	21	18	2	0	1	7	7	3
PALB2	115	194	161	148	184	184	560	479	447	174	145	107
PALD1	92	174	246	147	292	369	156	168	177	143	80	106
PALLD	3008	4489	5349	644	977	1158	8332	8692	7782	3902	3008	3363
PALM	20	37	84	298	627	801	86	140	249	532	390	367
PALM2	7	18	11	55	33	31	130	84	45	32	35	39
PALM2-AKAP2	1	0	0	4	2	1	2	9	1	1	0	6
PALM3	16	19	17	23	23	13	52	65	63	48	31	46
PALMD	6	5	3	0	6	8	0	3	11	10	6	6
PAM	1071	1702	2132	758	1009	1192	3555	4576	6884	3821	3167	3203
PAM16	8	19	13	10	8	7	18	16	17	13	8	8
PAMR1	1	4	15	38	386	686	52	80	102	28	17	30
PAN2	152	214	293	519	798	893	1287	1458	2096	637	456	360
PAN3	132	193	228	326	363	453	774	879	882	425	324	307
PAN3-AS1	6	3	6	11	15	13	33	17	29	14	10	12
PANDAR	0	0	0	3	1	2	1	1	3	0	1	0
PANK1	54	74	74	194	224	186	140	155	122	114	73	57
PANK2	167	252	267	264	338	260	651	475	570	227	135	175
PANK3	360	550	620	452	535	545	1355	1230	1050	711	529	490
PANK4	120	162	166	306	337	389	345	419	492	180	96	103
PANX1	299	440	455	238	189	202	753	691	681	438	262	295
PANX2	35	57	93	3	8	6	229	355	411	29	15	22
PANX3	0	0	0	1	0	0	0	0	0	0	0	0
PAOX	22	46	51	51	103	112	79	100	142	34	26	25
PAPD4	246	346	410	373	508	502	1099	1190	1326	428	309	325
PAPD5	147	243	265	183	190	227	987	927	746	106	84	78
PAPD7	338	473	479	457	419	426	855	716	698	449	319	287
PAPL	4	14	13	11	20	34	51	36	41	15	14	13
PAPLN	20	27	76	27	140	252	195	257	380	114	89	73
PAPOLA	1609	2276	2341	1391	1353	1364	5892	5182	5046	1863	1276	1339
PAPOLB	0	0	1	0	0	0	0	0	0	0	0	1
PAPOLG	130	179	166	141	187	190	567	528	514	203	143	148
PAPPA	921	1677	2662	20	23	62	156	208	172	31	24	39
PAPPA2	0	1	1	2	8	12	38	62	80	2	4	6
PAPSS1	394	650	684	556	594	662	1926	1855	1758	1006	722	729
PAPSS2	7	14	21	18	12	11	26	27	45	19	17	26
PAQR3	205	366	359	249	207	289	541	483	462	256	155	122
PAQR4	281	373	350	428	361	367	816	693	560	434	322	252
PAQR5	33	63	88	10	4	6	41	50	25	8	9	16
PAQR6	22	41	62	206	422	485	114	196	314	656	540	405
PAQR7	93	139	169	120	166	149	308	349	496	126	85	88
PAQR8	127	195	263	103	130	112	421	498	561	334	269	246
PAQR9	1	7	0	35	18	11	9	4	3	3	5	3
PARD3	278	399	462	626	815	895	1170	1081	1157	361	252	283
PARD3-AS1	0	1	0	1	2	0	0	2	3	0	0	0
PARD3B	76	140	158	44	100	154	344	490	607	250	194	172
PARD6A	62	78	85	45	53	62	114	100	121	61	39	34
PARD6B	68	98	137	49	51	69	204	180	195	48	30	20
PARD6G	157	226	251	254	248	304	169	168	133	157	114	144
PARD6G-AS1	6	6	8	27	29	33	37	55	53	30	21	18
PARG	121	185	185	278	315	277	427	476	449	210	129	129
PARGP1	6	5	7	23	43	35	26	30	33	12	9	11
PARK2	10	20	42	66	97	110	167	286	302	98	65	71
PARK7	802	1060	1043	1760	1651	1670	3493	3215	3447	640	429	481
PARL	321	471	471	341	371	423	1058	966	931	323	171	217
PARM1	195	254	568	80	188	227	1	1	2	182	146	62
PARN	308	406	473	379	423	417	1606	1622	1684	480	304	353
PARP1	776	1066	1003	2869	2624	2471	6259	5475	5263	3774	2610	2238
PARP10	194	295	376	84	118	183	1033	1217	1702	186	167	225
PARP11	71	124	119	188	247	242	302	333	291	327	199	189
PARP12	175	243	255	62	62	114	480	463	559	89	77	89
PARP14	445	636	906	548	745	881	3006	3847	4671	1004	721	655
PARP15	0	0	1	0	0	0	1	1	2	1	1	0
PARP16	49	54	68	36	41	61	204	205	191	88	63	60
PARP2	140	175	189	204	181	193	829	777	732	340	204	189
PARP3	100	119	216	122	143	220	772	926	1209	154	93	117
PARP4	813	1169	1362	693	722	865	2803	2519	2263	1147	732	863
PARP6	127	168	221	191	329	350	612	673	726	513	437	315
PARP8	44	70	110	180	211	197	220	261	292	156	103	79
PARP9	178	262	313	503	661	754	1542	2002	2514	741	541	455
PARPBP	134	143	138	100	67	62	492	306	215	111	58	77
PARS2	33	53	88	85	107	122	157	134	170	61	37	48
PART1	6	11	14	8	16	12	20	16	16	12	13	10
PARVA	472	681	760	624	674	811	2730	3375	3564	349	293	363
PARVB	90	151	149	35	15	21	179	209	177	72	35	58
PARVG	0	0	0	0	0	0	1	2	2	0	0	0
PASD1	0	0	0	0	1	0	0	0	0	1	2	2
PASK	172	204	220	220	165	177	278	228	169	199	115	107
PATE1	0	0	0	0	0	0	0	0	0	0	0	0
PATE2	4	6	9	9	15	7	9	16	11	9	4	2
PATE3	0	0	0	0	0	0	0	0	0	0	0	0
PATE4	0	2	0	3	5	5	1	3	4	3	1	1
PATL1	408	554	594	436	574	543	1708	1838	1605	554	454	395
