sampleName	SMTS	SMTSD	group	NTRK1_ENST00000358660.3	NTRK1_ENST00000368196.3	NTRK1_ENST00000392302.2	NTRK1_ENST00000489021.2	NTRK1_ENST00000497019.2	NTRK1_ENST00000524377.1	NTRK1_ENST00000530298.1	NTRK1_ENST00000531606.1	NTRK1_ENST00000533630.1	NTRK1_ENST00000534682.1	NTRK2_ENST00000277120.3	NTRK2_ENST00000304053.6	NTRK2_ENST00000323115.4	NTRK2_ENST00000359847.3	NTRK2_ENST00000376208.1	NTRK2_ENST00000376213.1	NTRK2_ENST00000376214.1	NTRK2_ENST00000395866.2	NTRK2_ENST00000395882.1	NTRK3_ENST00000317501.3	NTRK3_ENST00000355254.2	NTRK3_ENST00000357724.2	NTRK3_ENST00000360948.2	NTRK3_ENST00000394480.2	NTRK3_ENST00000537300.2	NTRK3_ENST00000540489.2	NTRK3_ENST00000542733.2	NTRK3_ENST00000557856.1	NTRK3_ENST00000557897.1	NTRK3_ENST00000558306.1	NTRK3_ENST00000558576.1	NTRK3_ENST00000558676.1	NTRK3_ENST00000559067.1	NTRK3_ENST00000559188.1	NTRK3_ENST00000559680.1	NTRK3_ENST00000559764.2	NTRK3_ENST00000560017.1	NTRK3_ENST00000560201.1	NTRK3_ENST00000560739.1
GTEX-13O3O-0011-R4b-SM-5KM3F	GTEX-13O3O-0011-R4b-SM-5KM3F	Brain	Brain - Amygdala	Normal2	0	0	0	0	0	0	0.189033824390017	0	0	0	0	1.41683974191283	0	6.97269265400426	1.70929063572336	1.57531233068744	0.7311832415722	0.0565835283663675	3.41683974191283	3.67129337248158	0	0.150559676575381	0	1.40053792958373	0	0	0	0	0.22650852980868	1.40599235967584	0.124328135002202	0.321928094887362	0.189033824390017	0	0	0	0	2.03913839390696	0
GTEX-13O3Q-0011-R4a-SM-5P9H2	GTEX-13O3Q-0011-R4a-SM-5P9H2	Brain	Brain - Amygdala	Normal2	0	0	0	0.0976107966264223	0	0	0.16349873228288	0.124328135002202	0	0	0	1.04264433740849	0	6.50684309896982	1.51601514700366	0.941106310946431	0.641546029087524	0.137503523749935	2.93545974780529	3.38818953715608	0	0.432959407276106	0	1.23266075679027	0	0	0	0	0	0.584962500721156	0	0.411426245726465	0	0	0	0	0.526068811667588	1.36176835941915	0
GTEX-13OVH-0011-R4a-SM-5KM3W	GTEX-13OVH-0011-R4a-SM-5KM3W	Brain	Brain - Amygdala	Normal2	0	0	0	0	0	0	0	0.0976107966264223	0	0.124328135002202	0	0	0	5.70043971814109	1.15055967657538	0.22650852980868	0.321928094887362	0	1.14404636961671	2.8499992594661	0	0.0840642647884745	0	0.748461233004036	0	0	0	0	0.367371065648529	0.565597175854225	0.0840642647884745	0.344828496997441	0	0	0	0	0	2.95791459863299	0
GTEX-13OVJ-0011-R4b-SM-5P9H5	GTEX-13OVJ-0011-R4b-SM-5P9H5	Brain	Brain - Amygdala	Normal2	0	0.111031312388744	0	0.20163386116965	0.214124805352847	0	0.0976107966264223	0.0426443374084937	0	0	0	0.575312330687437	0	8.71801906528173	2.95419631038688	1.38404980679516	1.38404980679516	0.0840642647884745	5.11519974938544	4.28540221886225	0	0.594548549550354	0	1.59931779369823	2.31324585178756	0	0.0426443374084937	0	0.432959407276106	1.05658352836637	0	0.895302621333307	0.575312330687437	0	0	0.22650852980868	0.815575428862573	1.78659636189081	0
GTEX-13OVL-0011-R4b-SM-5L3HV	GTEX-13OVL-0011-R4b-SM-5L3HV	Brain	Brain - Amygdala	Normal2	0	0	0	0	0.137503523749935	0	0	0.0426443374084937	0	0	0	0	0	5.91886323727459	1.17632277264046	0.367371065648529	0.475084882948783	0	2.05658352836637	2.91647664443772	0	0.0976107966264223	0	1.02856915219677	0	0	0	0	0	0.55581615506164	0	0.214124805352847	0	0	0	0	0	1.11769504266975	0.150559676575381
GTEX-13OW5-0011-R4b-SM-5L3HS	GTEX-13OW5-0011-R4b-SM-5L3HS	Brain	Brain - Amygdala	Normal2	0	0	0.124328135002202	0.16349873228288	0	0.0565835283663675	0.0426443374084937	0	0	0	0	1.20163386116965	0	7.4110872267986	1.50589092972996	1.61353165291793	0	0.137503523749935	5.37016428054021	4.39437694495706	0	0.526068811667588	0	1.85996954822103	0	0	0	0	0.22650852980868	1.66448284036468	0.0976107966264223	0.970853654340484	0.903038270112912	0	0	0	0	0.739848102699327	0
GTEX-13OW6-0011-R4a-SM-5O9DX	GTEX-13OW6-0011-R4a-SM-5O9DX	Brain	Brain - Amygdala	Normal2	0	0	0.111031312388744	0	0	0	0.0285691521967709	0	0	0	0	0.176322772640463	0	5.5957423394744	0.978195629681652	0.454175893185802	0.176322772640463	0.0285691521967709	1.37851162325373	2.77820857639809	0	0.0285691521967709	0	0.704871964456353	0	0	0	0	0.298658315564515	0.411426245726465	0.0565835283663675	0.20163386116965	0	0	0	0	0	2.05658352836637	0
GTEX-13OW7-0011-R4b-SM-5O9CX	GTEX-13OW7-0011-R4b-SM-5O9CX	Brain	Brain - Amygdala	Normal2	0	0	0.111031312388744	0	0	0.0285691521967709	0	0.400537929583729	0	0	0	0.22650852980868	0	6.7045953476324	1.24488705912353	0.641546029087524	0	0.0285691521967709	2.27202318906105	3.19377174339668	0	0.0840642647884745	0	0.895302621333307	0	0	0	0.150559676575381	0	0.704871964456353	0.124328135002202	0	0.0976107966264223	0	0	0	0	2.01077983875324	0
GTEX-13PVQ-0011-R4a-SM-5O9CT	GTEX-13PVQ-0011-R4a-SM-5O9CT	Brain	Brain - Amygdala	Normal2	0	0	0.111031312388744	0	0.0285691521967709	0	0	0.16349873228288	0	0	0	0	0	5.11644793551166	0.895302621333307	0.475084882948783	0.16349873228288	0.0285691521967709	1.67807190511264	2.81966818349646	0	0.0840642647884745	0	0.704871964456353	0	0	0	0	0	0	0	0.22650852980868	0.111031312388744	0	0	0	0	1.4541758931858	0
GTEX-13QIC-0011-R4a-SM-5PNX8	GTEX-13QIC-0011-R4a-SM-5PNX8	Brain	Brain - Amygdala	Normal2	0	0	0	0	0.176322772640463	0	0	0.189033824390017	0	0	0	1.01435529297707	0	6.12763327972587	1.98185265328974	0.807354922057604	0	0	0.773996325111173	3.27052894238072	0	0.070389327891398	0	0.963474123974886	3.00898878322725	0	0	0	0.37851162325373	0.495695162624069	0	0.250961573533219	0.238786859587116	0	0	0	0	1.91456452349394	0
GTEX-13RTJ-0011-R4b-SM-5PNX1	GTEX-13RTJ-0011-R4b-SM-5PNX1	Brain	Brain - Amygdala	Normal2	0	0	0.137503523749935	0	0	0	0.070389327891398	0	0	0	0	1.60880924267552	0	8.08480838780436	2.24792751344359	2.34198574722862	0.7311832415722	0.250961573533219	5.6435676219088	4.06091204958787	0	0.505890929729957	0	1.35049724708413	0	0	0	0	0.298658315564515	1.15055967657538	0	0.782408564927373	0.678071905112638	0	0	0	0	1.96716860753263	0
GTEX-13SLW-0011-R4b-SM-5S2W2	GTEX-13SLW-0011-R4b-SM-5S2W2	Brain	Brain - Amygdala	Normal2	0	0	0	0	0.16349873228288	0	0.0285691521967709	0.0285691521967709	0	0	0	1.36737106564853	0	6.73470962022584	1.39506279951758	1.18903382439002	0	0.0285691521967709	2.73984810269933	2.96716860753263	0	0.263034405833794	0	0.66902676550963	0	0	0	0	0.238786859587116	0.238786859587116	0.0565835283663675	0.214124805352847	0.111031312388744	0	0	0	0.321928094887362	2.03562390973072	0
GTEX-13SLX-0011-R4a-SM-5O9BJ	GTEX-13SLX-0011-R4a-SM-5O9BJ	Brain	Brain - Amygdala	Normal2	0	0	0	0	0.0976107966264223	0	0	0.0565835283663675	0	0	0	0.903038270112912	0	6.83794324189103	1.28688114778816	0.839959587489532	0	0.0285691521967709	2.19219416528334	3.34340782229781	0	0.238786859587116	0	0.948600847493356	0	0	0	0	0	0.37851162325373	0	0.22650852980868	0.356143810225275	0	0	0	0	0.622930350920177	0.0840642647884745
GTEX-13VXU-0011-R4b-SM-5O9CI	GTEX-13VXU-0011-R4b-SM-5O9CI	Brain	Brain - Amygdala	Normal2	0	0	0.16349873228288	0	0	0	0	0.495695162624069	0	0.070389327891398	0	0	0	6.94719858426206	1.82781902461732	1.06350294230616	0.970853654340484	0.27500704749987	4.24412594328373	3.60407132366886	0	0.214124805352847	0	1.43295940727611	2.32768736417605	0	0	0	0	0.871843648509318	0.16349873228288	0.389566811762726	0.422233000683048	0	0	0	0	0.831877241191673	0
GTEX-13X6I-0011-R4b-SM-5PNU9	GTEX-13X6I-0011-R4b-SM-5PNU9	Brain	Brain - Amygdala	Normal2	0	0	0.176322772640463	0	0.111031312388744	0	0.16349873228288	0	0	0	0	0.485426827170242	0	5.85024935828633	1.20789285164133	1.49569516262407	0	0.0565835283663675	2.11103131238874	3.40871186102943	0	0.0976107966264223	0	1.11769504266975	0	0	0	0	0	1.42223300068305	0.111031312388744	0.84799690655495	0.176322772640463	0	0	0	0	1.14404636961671	0
GTEX-13X6J-0011-R4b-SM-5P9K4	GTEX-13X6J-0011-R4b-SM-5P9K4	Brain	Brain - Amygdala	Normal2	0	0	0.0976107966264223	0	0	0	0.0840642647884745	0.238786859587116	0	0	0	1.32192809488736	0	7.04984854945056	1.03562390973072	1.38404980679516	0	0	3.39094277280254	3.38404980679516	0	0.0840642647884745	0	0.910732661902913	0	0	0	0	0.298658315564515	0.505890929729957	0.150559676575381	0.485426827170242	0	0	0	0	0	1.54596836910529	0
GTEX-13X6K-0011-R4b-SM-5P9HO	GTEX-13X6K-0011-R4b-SM-5P9HO	Brain	Brain - Amygdala	Normal2	0	0	0	0	0.0143552929770701	0.20163386116965	0.137503523749935	0	0	0	0	1.13093086982645	0	7.65248649491816	2.02147972741045	1.66902676550963	0.799087306074004	0.150559676575381	4.21334728173344	3.97361127551947	0	0.485426827170242	0	1.54596836910529	0	0	0	0	0.124328135002202	0.516015147003665	0.0565835283663675	0.765534746362977	0.344828496997441	0	0.124328135002202	0.238786859587116	0	0.831877241191673	0
GTEX-1445S-0011-R4a-SM-5PNWN	GTEX-1445S-0011-R4a-SM-5PNWN	Brain	Brain - Amygdala	Normal2	0	0	0.070389327891398	0.238786859587116	0	0	0.124328135002202	0	0	0.111031312388744	0	0.344828496997441	0	6.13627342985058	1.41683974191283	1.03562390973072	0	0.111031312388744	2.46988597627446	2.84197311892718	0	0	0	0.782408564927373	0	0	0.0426443374084937	0.263034405833794	0.411426245726465	0.070389327891398	0	0	0	0	0	0	0	2.31034012061215	0
GTEX-144GL-0011-R4a-SM-5PNUI	GTEX-144GL-0011-R4a-SM-5PNUI	Brain	Brain - Amygdala	Normal2	0	0	0.111031312388744	0	0	0	0	0.16349873228288	0	0	0	0	0	4.87627136055013	0.66902676550963	0.263034405833794	0	0	0.55581615506164	2.21412480535285	0	0.111031312388744	0	0.659924558402378	0	0	0	0	0	0.464668267003444	0.0840642647884745	0.111031312388744	0	0	0	0	0	1.85996954822103	0
GTEX-145LS-0011-R4b-SM-5S2UT	GTEX-145LS-0011-R4b-SM-5S2UT	Brain	Brain - Amygdala	Normal2	0	0	0.137503523749935	0	0	0	0.0565835283663675	0	0	0.070389327891398	0	1.02147972741045	0	6.62205181945638	1.08406426478847	0.925999418556223	0	0	2.34198574722862	3.50462039240355	0	0.189033824390017	0	1.43829285157915	0	0	0	0	0.443606651475615	1.20163386116965	0	0.37851162325373	0	0	0	0	0	0	0
GTEX-147GR-0011-R4a-SM-5S2V2	GTEX-147GR-0011-R4a-SM-5S2V2	Brain	Brain - Amygdala	Normal2	0	0	0	0.0565835283663675	0.0426443374084937	0	0	0.124328135002202	0	0	0	0	0	5.88630626345243	1.23266075679027	0.286881147788162	0.6959938131099	0	1.77399632511117	2.32481060342048	0	0.070389327891398	0	0.632268215499513	0	0	0	0	0.333423733725192	0.6959938131099	0	0.0285691521967709	0	0	0	0	0	2.39780296186249	0
GTEX-14ABY-0011-R4b-SM-5S2VN	GTEX-14ABY-0011-R4b-SM-5S2VN	Brain	Brain - Amygdala	Normal2	0	0.22650852980868	0	0	0	0	0.070389327891398	0.238786859587116	0	0	0	1.36176835941915	0	8.05961485629722	2.16349873228288	1.98550043030488	1.05658352836637	0.124328135002202	5.24830712008724	4.02236781302845	0	0.298658315564515	0	1.37295209791183	0	0	0	0	0	1.40053792958373	0	0.678071905112638	0.739848102699327	0	0	0	0.53605290024021	0	0
GTEX-14BIM-0011-R4b-SM-5S2RK	GTEX-14BIM-0011-R4b-SM-5S2RK	Brain	Brain - Amygdala	Normal2	0	0	0.070389327891398	0	0.070389327891398	0.070389327891398	0	0.356143810225275	0	0	0	0.321928094887362	0	6.86046625851717	1.76977173924945	0.454175893185802	0.584962500721156	0	2.33913738491959	3.98732086592925	0	0.298658315564515	0	1.32192809488736	0	0	0	0	0.321928094887362	0	0	0.526068811667588	0.20163386116965	0	0	0	0	0.641546029087524	0
GTEX-N7MS-0011-R4a-SM-2HMKW	GTEX-N7MS-0011-R4a-SM-2HMKW	Brain	Brain - Amygdala	Normal2	0	0.0565835283663675	0.070389327891398	0	0.0143552929770701	0	0	0.070389327891398	0.0840642647884745	0.0840642647884745	0	0	0	5.64932804098478	1.20789285164133	1.62760683812965	0.516015147003665	0.0840642647884745	1.17632277264046	2.77820857639809	0	0.214124805352847	0	0.799087306074004	0	0	0	0	0	0.650764559116902	0.22650852980868	0.333423733725192	0.333423733725192	0	0	0	0	1	0
GTEX-N7MT-0011-R4a-SM-2I3G9	GTEX-N7MT-0011-R4a-SM-2I3G9	Brain	Brain - Amygdala	Normal2	0.0426443374084937	0	0.124328135002202	0	0	0	0.176322772640463	0	0.0840642647884745	0.0143552929770701	0	0	0	6.65449282588346	1.74416109557041	0.748461233004036	1	0	2.25701061820602	3.32768736417605	0	0.575312330687437	0	1.20789285164133	2.78450398292957	0	0	0	0.238786859587116	0.713695814843359	0.124328135002202	0	0.176322772640463	0	0	0	0	1.65992455840238	0
GTEX-NL3H-0011-R4a-SM-2I3GK	GTEX-NL3H-0011-R4a-SM-2I3GK	Brain	Brain - Amygdala	Normal2	0	0	0	0	0	0	0.0285691521967709	0.111031312388744	0	0	0	0.879705766282288	0	7.11165734626313	1.37295209791183	1.34482849699744	0	0.0840642647884745	3.26753579806873	3.35049724708413	0	0.250961573533219	0	1.28095631383106	0	0	0	0	0	1.13093086982645	0	0.124328135002202	0.389566811762726	0	0	0	0	2.02147972741045	0
GTEX-NL4W-0011-R4a-SM-2I5GZ	GTEX-NL4W-0011-R4a-SM-2I5GZ	Brain	Brain - Amygdala	Normal2	0	0	0	0	0.150559676575381	0	0	0.0426443374084937	0	0	0	0.641546029087524	0	6.98527271425345	1.93734439215023	1.31034012061215	0	0	3.18269229751619	4.10601323762212	0	0.27500704749987	0	1.0071955014042	0	0	0.0426443374084937	0.367371065648529	0.150559676575381	0.604071323668861	0	0	0.27500704749987	0	0	0	0	1.88752527074159	0
GTEX-NPJ7-0011-R4a-SM-2I3GJ	GTEX-NPJ7-0011-R4a-SM-2I3GJ	Brain	Brain - Amygdala	Normal2	0	0	0.27500704749987	0	0	0	0.0426443374084937	0	0	0	0	0.344828496997441	0	6.34536088953964	1.37295209791183	0.84799690655495	0	0	1.95977015521147	3.41818994794577	0	0.411426245726465	0	1.22032995487956	0	0	0	0.0426443374084937	0.678071905112638	0.863938450423971	0	0.137503523749935	0.505890929729957	0	0	0	0.400537929583729	2.20789285164133	0
